epoch,metric,series,value
1,accuracy,train,0.8491664461497751
1,accuracy,val_clean,0.8316326530612245
1,loss,train,0.7115477222272031
1,learning_rate,lr,5e-06
2,accuracy,train,0.8534003704683779
2,accuracy,val_clean,0.8313137755102041
2,loss,train,0.6520984629122282
2,learning_rate,lr,5e-05
3,accuracy,train,0.8518126488489018
3,accuracy,val_clean,0.828125
3,loss,train,0.6453232840433043
3,learning_rate,lr,4.965903258506806e-05
4,accuracy,train,0.8537973008732469
4,accuracy,val_clean,0.8246173469387755
4,loss,train,0.6482524549513148
4,learning_rate,lr,4.864543104251586e-05
5,accuracy,train,0.8563111934374174
5,accuracy,val_clean,0.8268494897959183
5,loss,train,0.6356306903637979
5,learning_rate,lr,4.698684378016222e-05
6,accuracy,train,0.8613389785657581
6,accuracy,val_clean,0.8268494897959183
6,loss,train,0.6293125770873701
6,learning_rate,lr,4.4728512734909844e-05
7,accuracy,train,0.8560465731675047
7,accuracy,val_clean,0.8214285714285714
7,loss,train,0.6379451160394316
7,learning_rate,lr,4.193203929064353e-05
8,accuracy,train,0.8614712887007144
8,accuracy,val_clean,0.8258928571428571
8,loss,train,0.6292517328899542
8,learning_rate,lr,3.867370395306067e-05
9,accuracy,train,0.8622651495104525
9,accuracy,val_clean,0.8249362244897959
9,loss,train,0.6232815701026517
9,learning_rate,lr,3.504238561632424e-05
