epoch,metric,series,value
1,accuracy,train,0.7934638793331569
1,accuracy,val_clean,0.8373724489795918
1,loss,train,0.9443138757058633
1,learning_rate,lr,1e-05
2,accuracy,train,0.8048425509394019
2,accuracy,val_clean,0.8389668367346939
2,loss,train,0.8768956415802753
2,learning_rate,lr,5.5e-05
3,accuracy,train,0.7967716327070654
3,accuracy,val_clean,0.8408801020408163
3,loss,train,0.8938487812809668
3,learning_rate,lr,0.0001
4,accuracy,train,0.8127811590367822
4,accuracy,val_clean,0.8402423469387755
4,loss,train,0.8543807616717098
4,learning_rate,lr,9.953429730181653e-05
5,accuracy,train,0.818602804974861
5,accuracy,val_clean,0.8459821428571429
5,loss,train,0.8482047356793286
5,learning_rate,lr,9.814586436738996e-05
6,accuracy,train,0.8114580576872188
6,accuracy,val_clean,0.8405612244897959
6,loss,train,0.8667109782621955
6,learning_rate,lr,9.586056507527265e-05
7,accuracy,train,0.8146335009261709
7,accuracy,val_clean,0.8472576530612245
7,loss,train,0.8521514983838372
7,learning_rate,lr,9.272097022732442e-05
8,accuracy,train,0.8234982799682455
8,accuracy,val_clean,0.8440688775510204
8,loss,train,0.8265989828548219
8,learning_rate,lr,8.878556453522099e-05
9,accuracy,train,0.8231013495633765
9,accuracy,val_clean,0.8504464285714286
9,loss,train,0.82042867517812
9,learning_rate,lr,8.41276571609327e-05
10,accuracy,train,0.8342154008997089
10,accuracy,val_clean,0.8482142857142857
10,loss,train,0.7762568366846164
10,learning_rate,lr,7.883401610574335e-05
11,accuracy,train,0.8299814765811061
11,accuracy,val_clean,0.8456632653061225
11,loss,train,0.8190908657476113
11,learning_rate,lr,7.300325188655761e-05
12,accuracy,train,0.8406985975125695
12,accuracy,val_clean,0.8529974489795918
12,loss,train,0.7912796187271482
12,learning_rate,lr,6.674398060854933e-05
13,accuracy,train,0.8408309076475258
13,accuracy,val_clean,0.8536352040816326
13,loss,train,0.7772922545127309
13,learning_rate,lr,6.01728006526317e-05
14,accuracy,train,0.8446679015612596
14,accuracy,val_clean,0.8558673469387755
14,loss,train,0.7819562153262289
14,learning_rate,lr,5.341212066823357e-05
15,accuracy,train,0.8432124900767399
15,accuracy,val_clean,0.8574617346938775
15,loss,train,0.7709527132403254
15,learning_rate,lr,4.6587879331766465e-05
16,accuracy,train,0.8518126488489018
16,accuracy,val_clean,0.8526785714285714
16,loss,train,0.7515192764497491
16,learning_rate,lr,3.9827199347368314e-05
17,accuracy,train,0.8420216988621329
17,accuracy,val_clean,0.8542729591836735
17,loss,train,0.8023502347361445
17,learning_rate,lr,3.325601939145069e-05
18,accuracy,train,0.856178883302461
18,accuracy,val_clean,0.8584183673469388
18,loss,train,0.7449086715333454
18,learning_rate,lr,2.6996748113442394e-05
19,accuracy,train,0.8494310664196878
19,accuracy,val_clean,0.8574617346938775
19,loss,train,0.7793988551561023
19,learning_rate,lr,2.1165983894256647e-05
20,accuracy,train,0.8467848637205609
20,accuracy,val_clean,0.8596938775510204
20,loss,train,0.7810142132364654
20,learning_rate,lr,1.587234283906729e-05
21,accuracy,train,0.8465202434506484
21,accuracy,val_clean,0.8549107142857143
21,loss,train,0.767323277265693
21,learning_rate,lr,1.1214435464779016e-05
22,accuracy,train,0.8565758137073299
22,accuracy,val_clean,0.8565051020408163
22,loss,train,0.762622214958257
22,learning_rate,lr,7.2790297726755826e-06
23,accuracy,train,0.8543265414130723
23,accuracy,val_clean,0.857780612244898
23,loss,train,0.7505381637920492
23,learning_rate,lr,4.139434924727348e-06
24,accuracy,train,0.8578989150568933
24,accuracy,val_clean,0.8571428571428571
24,loss,train,0.7478535834933501
24,learning_rate,lr,1.8541356326100378e-06
25,accuracy,train,0.8594866366763694
25,accuracy,val_clean,0.8571428571428571
25,loss,train,0.7311391813094479
25,learning_rate,lr,4.657026981834678e-07
