epoch,metric,series,value
25,learning_rate,lr,0.0008498316702566826
26,accuracy,train,0.540751521566552
26,accuracy,val_clean,0.6897321428571429
26,loss,train,1.5815155161345058
26,learning_rate,lr,0.0008345653031794289
27,accuracy,train,0.5519978830378407
27,accuracy,val_clean,0.6836734693877551
27,loss,train,1.5556421520912511
27,learning_rate,lr,0.0008187119948743447
28,accuracy,train,0.5447208256152422
28,accuracy,val_clean,0.7053571428571429
28,loss,train,1.5865466730655833
28,learning_rate,lr,0.0008022995574311873
29,accuracy,train,0.5632442445091294
29,accuracy,val_clean,0.6967474489795918
29,loss,train,1.5256807716096574
29,learning_rate,lr,0.0007853567838422157
30,accuracy,train,0.5529240539825351
30,accuracy,val_clean,0.7219387755102041
30,loss,train,1.565497352478207
30,learning_rate,lr,0.000767913397489498
31,accuracy,train,0.5844138661021434
31,accuracy,val_clean,0.7362882653061225
31,loss,train,1.5072394443839023
31,learning_rate,lr,0.0007499999999999997
32,accuracy,train,0.5744906059804181
32,accuracy,val_clean,0.7350127551020408
32,loss,train,1.5364635182171469
32,learning_rate,lr,0.0007316480175599306
33,accuracy,train,0.5670812384228632
33,accuracy,val_clean,0.7308673469387755
33,loss,train,1.5230671518787122
33,learning_rate,lr,0.000712889645782536
34,accuracy,train,0.5988356708123842
34,accuracy,val_clean,0.7206632653061225
34,loss,train,1.4809389809635967
34,learning_rate,lr,0.0006937577932260512
35,accuracy,train,0.6017464937814236
35,accuracy,val_clean,0.7493622448979592
35,loss,train,1.493210746958698
35,learning_rate,lr,0.0006742860236609074
36,accuracy,train,0.5942048160889124
36,accuracy,val_clean,0.7528698979591837
36,loss,train,1.5005606388913226
36,learning_rate,lr,0.0006545084971874735
37,accuracy,train,0.5984387404075152
37,accuracy,val_clean,0.7506377551020408
37,loss,train,1.486123733401898
37,learning_rate,lr,0.0006344599103076326
38,accuracy,train,0.6215930140248743
38,accuracy,val_clean,0.7525510204081632
38,loss,train,1.43185710351787
38,learning_rate,lr,0.0006141754350553277
39,accuracy,train,0.6204022228102672
39,accuracy,val_clean,0.7643494897959183
39,loss,train,1.449576384067283
39,learning_rate,lr,0.0005936906572928622
40,accuracy,train,0.6260915586133898
40,accuracy,val_clean,0.7579719387755102
40,loss,train,1.433979882863376
40,learning_rate,lr,0.0005730415142812057
41,accuracy,train,0.6225191849695687
41,accuracy,val_clean,0.7723214285714286
41,loss,train,1.4483942678599926
41,learning_rate,lr,0.0005522642316338267
